,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
20,0.48923959732055666,0.040167103659851794,0.012079191207885743,0.006095848396321719,0.01,0.1,3,1000,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.8446034963632988,0.9113362835209048,0.9069269800270314,0.8678159787579384,0.8967387932626977,0.8854843063863742,0.025448720513227763,1,-141994.74597799082,-120754.0942023136,-113885.57006340938,-127815.42795404437,-123634.64925088352,-125616.89748972833,9362.346547559599,1
47,0.47873554229736326,0.007947535574394739,0.003124570846557617,0.006249141693115234,0.1,0.1,3,1000,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.8446034963632988,0.9113362835209048,0.9069269800270314,0.8678159787579384,0.8967387932626977,0.8854843063863742,0.025448720513227763,1,-141994.74597799082,-120754.0942023136,-113885.57006340938,-127815.42795404437,-123634.64925088352,-125616.89748972833,9362.346547559599,1
2,0.47762885093688967,0.02747247896534254,0.009234142303466798,0.0031446311394986506,0.01,0.05,3,1000,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",0.8505227683486851,0.9137064397141706,0.8972894199709118,0.8679687293134142,0.8895198389192538,0.8838014392532871,0.022212966539213723,3,-139264.09991097808,-119129.1635680101,-119636.68976393112,-127741.55548028975,-127883.27581028562,-126730.95690669892,7314.980658283483,3
29,0.47633934020996094,0.004689012915896395,0.0031251430511474608,0.0062502861022949215,0.1,0.05,3,1000,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",0.8505227683486851,0.9137064397141706,0.8972894199709118,0.8679687293134142,0.8895198389192538,0.8838014392532871,0.022212966539213723,3,-139264.09991097808,-119129.1635680101,-119636.68976393112,-127741.55548028975,-127883.27581028562,-126730.95690669892,7314.980658283483,3
19,0.25954275131225585,0.018005468848511653,0.00230865478515625,0.0019960066566504227,0.01,0.1,3,500,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.8404430685787192,0.9106740448364502,0.9050709677032619,0.8653740953706386,0.8942812217926621,0.8831686796563464,0.02646457632372049,5,-143883.00227868056,-121204.21781710496,-115015.4873446144,-128990.61576229885,-125097.22350106853,-126838.10934075345,9692.342000062074,5
46,0.25560564994812013,0.007859086447171098,0.007346916198730469,0.00499445296535435,0.1,0.1,3,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",0.8404430685787192,0.9106740448364502,0.9050709677032619,0.8653740953706386,0.8942812217926621,0.8831686796563464,0.02646457632372049,5,-143883.00227868056,-121204.21781710496,-115015.4873446144,-128990.61576229885,-125097.22350106853,-126838.10934075345,9692.342000062074,5
5,1.2196195602416993,0.10487903233987995,0.011829280853271484,0.006031659184303827,0.01,0.05,6,1000,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 1000}",0.8292446819356256,0.9038528356356513,0.906418239215192,0.8824244306683366,0.8771398399213862,0.8798160054752383,0.02777362976898581,7,-148846.5499449277,-125746.85703575378,-114196.39741089588,-120545.87226664263,-134858.13255542377,-128838.76184272875,12077.045479176619,7
32,1.350883674621582,0.10935563943693297,0.016693830490112305,0.0017638581025230012,0.1,0.05,6,1000,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 1000}",0.8292446819356256,0.9038528356356513,0.906418239215192,0.8824244306683366,0.8771398399213862,0.8798160054752383,0.02777362976898581,7,-148846.5499449277,-125746.85703575378,-114196.39741089588,-120545.87226664263,-134858.13255542377,-128838.76184272875,12077.045479176619,7
4,0.5867410659790039,0.039761155631149514,0.012150764465332031,0.003082039482199484,0.01,0.05,6,500,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 500}",0.8290560229338595,0.9047881000033408,0.9056215876389974,0.8815055064669877,0.8775371063338596,0.879701664675409,0.027835559377663875,9,-148928.7537958519,-125133.76585772348,-114681.43821591923,-121016.02488063555,-134639.92518534316,-128879.98158709468,11938.214259836697,9
31,0.5908452987670898,0.0152689596988109,0.015665483474731446,0.0005869165691811238,0.1,0.05,6,500,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 500}",0.8290560229338595,0.9047881000033408,0.9056215876389974,0.8815055064669877,0.8775371063338596,0.879701664675409,0.027835559377663875,9,-148928.7537958519,-125133.76585772348,-114681.43821591923,-121016.02488063555,-134639.92518534316,-128879.98158709468,11938.214259836697,9
41,1.1840582370758057,0.023117620675399023,0.01566452980041504,0.0004332447638746001,0.1,0.01,6,1000,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000}",0.8287467744213876,0.9010853229151771,0.9022821502410732,0.8831345651217737,0.8793182653324993,0.8789134156063823,0.026729628229559887,11,-149063.40371341587,-127543.77518571308,-116692.71599963687,-120181.2836572438,-133657.20501925788,-129427.67671505347,11442.68131519226,11
14,1.1729068756103516,0.052489852044681796,0.016199207305908202,0.002517901035086571,0.01,0.01,6,1000,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 1000}",0.8287467744213876,0.9010853229151771,0.9022821502410732,0.8831345651217737,0.8793182653324993,0.8789134156063823,0.026729628229559887,11,-149063.40371341587,-127543.77518571308,-116692.71599963687,-120181.2836572438,-133657.20501925788,-129427.67671505347,11442.68131519226,11
1,0.23777360916137696,0.011170899525903479,0.006591892242431641,0.0023306821702682927,0.01,0.05,3,500,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",0.8399020974455103,0.9080246274435164,0.8956451465888194,0.8587375873112711,0.8837026012649699,0.8772024120108174,0.024757459890263296,13,-144126.71054729098,-122988.54867271388,-120590.50761463911,-132131.7260949331,-131206.8785100102,-130208.87428791747,8283.062442031778,13
28,0.2570812225341797,0.0027631504182140886,0.005239105224609375,0.0044783081996621,0.1,0.05,3,500,"{'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",0.8399020974455103,0.9080246274435164,0.8956451465888194,0.8587375873112711,0.8837026012649699,0.8772024120108174,0.024757459890263296,13,-144126.71054729098,-122988.54867271388,-120590.50761463911,-132131.7260949331,-131206.8785100102,-130208.87428791747,8283.062442031778,13
3,0.2705533027648926,0.014387544883190922,0.004994249343872071,0.004760506517892173,0.01,0.05,6,200,"{'gamma': 0.01, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200}",0.8256793449825368,0.9026649913300229,0.9028744910707087,0.8779105969089203,0.8750401784713087,0.8768339205526996,0.028165663048472983,15,-150392.46515769273,-126521.23857123329,-116338.49755915978,-122838.01330816805,-136005.60328658854,-130419.16357656848,11841.232190252185,15
